_COMMON_NAME_	_SCIENTIFIC_NAME_NOT_USED_	_TAXON_GROUP_	_ABBREV_	_GENBANK_ACCESSION_	_REFSEQ_FTP_URL_	_REFSEQ_ANN_REPORT_URL_	_REFSEQ_ANN_NAME_	_ASSEMBLY_PROVIDER_NAME_	_ASSEMBLY_PROVIDER_URL_
The sugarcane aphid	Melanaphis sacchari	Hemiptera	msac	GCA_002803265.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/803/265/GCF_002803265.2_SCAv2.0	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Melanaphis_sacchari/100/	NCBI Melanaphis sacchari Annotation Release 100	USDA-ARS Center for Grain and Animal Health Research	https://www.ars.usda.gov/plains-area/mhk/cgahr/
Brown dog tick	Rhipicephalus sanguineus	Acari	rsan	GCA_013339695.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/339/695/GCF_013339695.2_BIME_Rsan_1.4	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Rhipicephalus_sanguineus/101/	NCBI Rhipicephalus sanguineus Annotation Release 101	TIGMIC Group	Beijing Institute of Microbiology and Epidemiology
Hydrozoan	Hydractinia symbiolongicarpus	Cnidaria	hsym	GCA_029227915.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/227/915/GCF_029227915.1_HSymV2.1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Hydractinia_symbiolongicarpus/GCF_029227915.1-RS_2023_06.html	NCBI Hydractinia symbiolongicarpus Annotation Release GCF_029227915.1-RS_2023_06	University of Vienna	https://www.univie.ac.at/en/
Painted urchin	Lytechinus pictus	Echinodermata	lpic	GCA_015342785.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/342/785/GCF_015342785.2_UCSD_Lpic_2.1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Lytechinus_pictus/GCF_015342785.2-RS_2023_03/	NCBI Lytechinus pictus Annotation Release GCF_015342785.2-RS_2023_03	University of North Carolina Wilmington	https://uncw.edu/
Fruit fly	Drosophila gunungcola	Diptera	dgun	GCA_025200985.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/200/985/GCF_025200985.1_Dgunungcola_SK_2	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Drosophila_gunungcola/GCF_025200985.1-RS_2023_01/	NCBI Drosophila gunungcola Annotation Release GCF_025200985.1-RS_2023_01	National Central University	https://www.ncu.edu.tw/tw/index.html
Fruit fly	Drosophila innubila	Diptera	dinn	GCA_004354385.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/354/385/GCF_004354385.1_UK_Dinn_1.0	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Drosophila_innubila/100/	NCBI Drosophila innubila Annotation Release 100	University of Kansas	https://www.ku.edu/
Fruit fly	Drosophila erecta	Diptera	dere	GCA_003286155.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/286/155/GCF_003286155.1_DereRS2	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Drosophila_erecta/101/	NCBI Drosophila erecta Annotation Release 101	University of Arizona	https://www.arizona.edu/
Fruit fly	Drosophila grimshawi	Diptera	dgri	GCA_018153295.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/153/295/GCF_018153295.1_ASM1815329v1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Drosophila_grimshawi/103/	NCBI Drosophila grimshawi Annotation Release 103	Stanford University	https://www.stanford.edu/
Fruit fly	Drosophila mojavensis	Diptera	dmoj	GCA_018153725.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/153/725/GCF_018153725.1_ASM1815372v1	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Drosophila_mojavensis/102/	NCBI Drosophila mojavensis Annotation Release 102	Stanford University	https://www.stanford.edu/
Fruit fly	Drosophila persimilis	Diptera	dper	GCA_003286085.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/286/085/GCF_003286085.1_DperRS2	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Drosophila_persimilis/101/	NCBI Drosophila persimilis Annotation Release 101	University of Chiago	https://www.uchicago.edu/
Fruit fly	Drosophila sechellia	Diptera	desc	GCA_004382195.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/382/195/GCF_004382195.2_ASM438219v2	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Drosophila_sechellia/101/	NCBI Drosophila sechellia Annotation Release 101	University of California, Irvine	https://www.uci.edu/
Fruit fly	Drosophila virilis	Diptera	dvir	GCA_003285735.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/285/735/GCF_003285735.1_DvirRS2	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Drosophila_virilis/103/	NCBI Drosophila virilis Annotation Release 103	Cornell University	https://www.cornell.edu/
Parasitoid wasp	Microctonus hyperodae	Hymenoptera	mhyp	GCA_030347285.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/347/285/GCA_030347285.1_UoO_Mhyp	https://doi.org/10.1186/s12864-023-09538-4	Chromosome-level genome assemblies of two parasitoid biocontrol wasps reveal the parthenogenesis mechanism and an associated novel virus	University of Otago	https://www.otago.ac.nz/
Parasitoid wasp	Microctonus aethiopoides	Hymenoptera	maet1	GCA_030272655.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/272/655/GCA_030272655.1_UoO_Maeth_MO	https://doi.org/10.1186/s12864-023-09538-4	Chromosome-level genome assemblies of two parasitoid biocontrol wasps reveal the parthenogenesis mechanism and an associated novel virus	University of Otago	https://www.otago.ac.nz/
Parasitoid wasp	Microctonus aethiopoides	Hymenoptera	maet2	GCA_030347275.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/347/275/GCA_030347275.1_UoO_Maeth_IR	https://doi.org/10.1186/s12864-023-09538-4	Chromosome-level genome assemblies of two parasitoid biocontrol wasps reveal the parthenogenesis mechanism and an associated novel virus	University of Otago	https://www.otago.ac.nz/
Parasitoid wasp	Microctonus aethiopoides	Hymenoptera	maet3	GCA_030272935.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/272/935/GCA_030272935.1_UoO_Maeth_FR	https://doi.org/10.1186/s12864-023-09538-4	Chromosome-level genome assemblies of two parasitoid biocontrol wasps reveal the parthenogenesis mechanism and an associated novel virus	University of Otago	https://www.otago.ac.nz/
California two-spot octopus	Octopus bimaculoides	Mollusca	obim	GCA_001194135.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/194/135/GCF_001194135.2_ASM119413v2	https://www.ncbi.nlm.nih.gov/genome/annotation_euk/Octopus_bimaculoides/GCF_001194135.2-RS_2023_01/	NCBI Octopus bimaculoides Annotation Release GCF_001194135.2-RS_2023_01	UC Berkeley	https://www.berkeley.edu/
