_GENOME_ACCESSION_	_ANNOTATION_PROVIDER_NAME_
GCA_900618505.1	WTSI
GCA_900096555.1	WormBase Parasite
GCA_004148225.2	WormBase Parasite
GCA_020449115.1	WormBase Parasite
GCA_023374025.1	WormBase Parasite
GCA_000223415.1	WormBase Parasite
GCA_014805365.1	WormBase Parasite
GCA_014805385.1	WormBase Parasite
GCA_900537275.1	ED
GCA_000733445.1	WormBase Parasite
GCA_003133805.1	WormBase Parasite
GCA_003693565.1	WormBase Parasite
GCA_900003985.1	WormBase Parasite
GCA_015183035.1	WormBase Parasite
GCA_003693675.1	WormBase Parasite
GCA_000751915.1	WormBase Parasite
GCA_003693605.1	WormBase Parasite
GCA_000172435.1	WormBase Parasite
GCA_003693645.1	WormBase Parasite
GCA_900182535.1	WormBase Parasite
GCA_003693625.1	WormBase Parasite
GCA_900003945.1	WormBase Parasite
GCA_958450365.1	LBMC UMR5239
GCA_958295435.1	LBMC UMR5239
GCA_900490955.1	WormBase Parasite
GCA_000507365.1	The Genome Institute at Washington University
GCA_030553155.1	Cornell University
GCA_900618405.1	WTSI
GCA_000797555.1	The Genome Institute
GCA_002249935.1	The Genome Institute
GCA_900618345.1	WTSI
GCA_000950515.2	WormBase Parasite
GCA_900537205.1	ED
GCA_013425905.1	WormBase Parasite
GCA_000341325.1	WormBase Parasite
GCA_901779475.1	WormBase Parasite
GCA_901766855.1	WormBase Parasite
GCA_901765185.1	WormBase Parasite
GCA_901765195.1	WormBase Parasite
GCA_901766145.1	WormBase Parasite
GCA_943737045.1	WormBase Parasite
GCA_002259205.1	WormBase Parasite
GCA_000941615.1	WormBase Parasite
GCA_019055375.1	University of Minnesota College of Veterinary Medicine
GCA_900490705.1	WormBase Parasite
GCA_900490825.1	WormBase Parasite
GCA_911812115.1	WormBase Parasite
GCA_900490895.1	WormBase Parasite
GCA_900490845.1	WormBase Parasite
GCA_900490775.1	WormBase Parasite
GCA_900490875.1	WormBase Parasite
GCA_000944355.1	WormBase Parasite
GCA_003640385.1	WormBase Parasite
GCA_000757645.3	California Institute of Technology
GCA_007213375.1	WormBase Parasite
GCA_029582065.1	WormBase Parasite
GCA_001028725.1	WormBase Parasite
GCA_900624965.1	WTSI
GCA_002352805.1	The Genome Institute
GCA_900618365.1	WTSI
GCA_000803305.1	University of Melbourne
GCA_900622545.1	WTSI
GCA_005281725.1	WormBase Parasite
GCA_900622535.1	WTSI
GCA_003958945.1	University of Queensland
GCA_900618015.1	WTSI
GCA_000151775.1	WormBase Parasite
GCA_006368765.1	Fudan University
GCA_025215515.1	WormBase Parasite
GCA_001447585.1	University of Melbourne
GCA_001447425.1	University of Melbourne
GCA_001447455.1	University of Melbourne
GCA_001447755.1	University of Melbourne
GCA_001447655.1	University of Melbourne
GCA_001447445.1	University of Melbourne
GCA_001447575.1	University of Melbourne
GCA_001447645.1	University of Melbourne
GCA_001447675.1	University of Melbourne
GCA_001447725.1	University of Melbourne
GCA_001447435.1	University of Melbourne
GCA_001447745.1	University of Melbourne
GCA_001447505.1	University of Melbourne
GCA_001447595.1	University of Melbourne
GCA_001447665.1	University of Melbourne
GCA_000701005.1	The University of Melbourne
GCA_000701025.1	The University of Melbourne
GCA_000797535.1	The Genome Institute
